company_no,company_name,cb_no,bond_type,bond_period,bond_category,publish_date,expire_date,publish_qty,remain_qty,basic_interest,interest_pay_type,interest_calc_count,interest_pay_count,credit_level,publish_location,back_flag,back_description,bond_short_name,announce_date,publish_length,publish_month,ipo,ensure,ensure_status,sell_back_date,sell_back_price,sell_broker,remain_change_date,remain_change_cause,currency,collect_method,convert_price,convert_start_date,convert_end_date,trustee
5213      ,亞昕國際,52133          ,5,三        ,,20130620,20160620,400000000,400000000,0, ,0,0,不適用  ,1,1,                                                                                ,亞昕三                        ,20130620,3,0,2,1,板信商業銀行股份有限公司                                                        ,20150620,101.46,國票綜合證券股份有限公司                                                        ,20130731,                                                            ,1,7,27.5,20130721,20160610,台北富邦商業銀行股份有限公司                      
5213      ,亞昕國際,52134          ,5,四        ,,20130621,20160621,100000000,99500000,0, ,0,0,不適用  ,1,1,                                                                                ,亞昕四                        ,20130621,3,0,2,1,第一商業銀行                                                                    ,20150621,102.52,國票綜合證券股份有限公司                                                        ,20140131,轉換公司債轉換                                              ,1,7,27.6,20130722,20160611,台北富邦商業銀行股份有限公司                      
5213      ,亞昕國際,52135          ,5,五        ,,20140407,20170407,400000000,400000000,0, ,0,0,不適用  ,1,1,                                                                                ,亞昕五                        ,20140407,3,0,2,1,第一商業銀行股份有限公司                                                        ,0,0,兆豐證券股份有限公司                                                            ,0,                                                            ,1,7,22.9,20140508,20170327,華泰商業銀行股份有限公司                          
5230      ,雷笛克,52301          ,5,1         ,,20130801,20160801,230000000,163800000,0, ,0,0,        ,1,1,                                                                                ,雷笛一                        ,20130801,3,0,2,2,                                                                                ,20150801,102.01,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,92,20130902,20160722,玉山銀行信託部                                    
5263      ,智崴資訊,52631          ,5,1         ,,20130628,20160628,150000000,2000000,0, ,0,0,不適用  ,1,1,                                                                                ,智崴一                        ,20130628,3,0,2,1,台新國際商業銀行                                                                ,20150628,102.5156,台新綜合證券股份有限公司                                                        ,0,                                                            ,1,7,75,20130729,20160618,合作金庫商業銀行股份有限公司                      
5263      ,智崴資訊,52632          ,5,2         ,,20130701,20180701,150000000,900000,0, ,0,0,不適用  ,1,1,                                                                                ,智崴二                        ,20130701,5,0,2,2,                                                                                ,20150701,103.0225,台新綜合證券股份有限公司                                                        ,0,                                                            ,1,7,75,20130802,20180621,台新國際商業銀行股份有限公司                      
5309      ,系統電子,53092          ,5,2         ,,20120306,20150306,400000000,43200000,0, ,0,0,不適用  ,1,1,                                                                                ,系統二                        ,20120306,3,0,2,1,臺灣新光商業銀行股份有限公司敦南分行                                            ,20140306,102.01,大眾綜合證券股份有限公司                                                        ,0,                                                            ,1,7,10.45,20120407,20150224,玉山商業銀行股份有限公司信託部                    
5355      ,佳總,53553          ,5,3         ,,20120118,20150118,150000000,53700000,0, ,0,0,        ,1,2,到期時按債券面額之101.51%(實質收益率為0.5%)以現金一次償還                       ,佳總三                        ,20120118,3,0,2,1,遠東國際商業銀行                                                                ,0,0,台新綜合證券股份有限公司                                                        ,0,                                                            ,1,7,7.5,20120418,20150108,中國信託商業銀行信託部                            
5388      ,中磊電子,53883          ,5,3         ,,20100806,20150806,600000000,160000000,0, ,0,0,        ,1,1,                                                                                ,中磊三                        ,20100806,5,0,2,2,                                                                                ,20140806,108.24,凱基證券                                                                        ,20140131,債券持有人申請轉換                                          ,1,7,22.24,20100907,20150727,台新國際商業銀行信託部                            
5388      ,中磊電子,53884          ,5,4         ,,20110830,20160830,600000000,41100000,0, ,0,0,        ,1,1,                                                                                ,中磊四                        ,20110830,5,0,2,2,                                                                                ,20140830,100,凱基證券                                                                        ,20140731,債券持有人轉換                                              ,1,7,40.76,20111001,20160820,台新國際商業銀行信託部                            
5388      ,中磊電子,53885          ,5,5         ,,20120831,20170831,600000000,243300000,0, ,0,0,        ,1,1,                                                                                ,中磊五                        ,20120831,5,0,2,2,                                                                                ,20150831,100,凱基證券                                                                        ,20140731,債券持有人轉換                                              ,1,7,49.67,20121001,20170821,永豐銀行信託部                                    
